month_number;day_number;month_name;synaxaire;synaxaire_category;is_martyre
6;9;Amshir;Décès de saint Parsouma, le père des moines syriens;Décès;0
6;9;Amshir;Décès de sainte Euphrosiné;Décès;0
6;10;Amshir;Martyre de saint Philo, évêque de Perse;Martyre;1
6;10;Amshir;Martyre de saint Juste, le fils de Numérien;Martyre;1
6;10;Amshir;Décès de saint Isidore de Péluse;Décès;0
6;11;Amshir;Martyre de saint Fabien, Pape de Rome;Martyre;1
6;11;Amshir;Décès du pape Jean XIII, le 94ème patriarche de la prédication de saint Marc;Décès;0
6;12;Amshir;Commémoration de l’archange Michel;Commémoration;0
6;12;Amshir;Décès de saint Gélasius, l’ascète;Décès;0
6;13;Amshir;Martyre de saint Serge d’Atrib, de ses parents, sa sœur et de plusieurs autres personnes;Martyre;1
6;13;Amshir;Décès du pape Timothée III, le 32ème patriarche de la prédication de saint Marc;Décès;0
6;14;Amshir;Décès de saint Sévère, le patriarche d'Antioche;Décès;0
6;14;Amshir;Décès du pape saint Jacques, le 50ème patriarche de la prédication de saint Marc;Décès;0
6;15;Amshir;Martyre du saint prophète Zacharie fils de Bérékya, fils de Iddo;Martyre;1
6;15;Amshir;Martyre d’abba Pigol, le prêtre;Martyre;1
6;15;Amshir;Décès de saint Paphnouté, le moine;Décès;0
6;15;Amshir;Consécration de la 1ère église en l’honneur des quarante martyrs de Sébaste;Consécration;0
