copt_code_date,coptic_date,synaxaire,month_name,month_number,day_number,synaxaire_category,is_martyre
421,21 Kiahk,"Martyre de saint Barnabé, l’un des douze disciples",Kiahk,4,21,Martyre,1
421,21 Kiahk,"Commémoration de la Mère de Dieu, la très sainte Vierge Marie",Kiahk,4,21,Commémoration,0
422,22 Kiahk,Commémoration de l'archange Gabriel,Kiahk,4,22,Commémoration,0
422,22 Kiahk,Martyre de saint Pacôme et de sa sœur sainte Dhalusham,Kiahk,4,22,Martyre,1
422,22 Kiahk,"Décès de saint Anastase, le 36ème patriarche de la prédication de saint Marc",Kiahk,4,22,Décès,0
423,23 Kiahk,"Décès de David, le prophète et le roi",Kiahk,4,23,Décès,0
423,23 Kiahk,"Décès de saint Timothée, l’anachorète",Kiahk,4,23,Décès,0
424,24 Kiahk,"Martyre de saint Ignace le Théophore, l’évêque d’Antioche",Kiahk,4,24,Martyre,1
425,25 Kiahk,"Décès de saint Jean Kamé, le prêtre",Kiahk,4,25,Décès,0
425,25 Kiahk,Décès de saint Pichaï au mont al Tôd,Kiahk,4,25,Décès,0
426,26 Kiahk,Martyre de sainte Anastasie,Kiahk,4,26,Martyre,1
426,26 Kiahk,Consécration de l’église des deux saints : abba Pichaï et abba Pierre,Kiahk,4,26,Consécration,0
427,27 Kiahk,"Martyre de saint Psoté, l'évêque de Psoï",Kiahk,4,27,Martyre,1
428,28 Kiahk,Préparation de la fête de la Nativité de notre Seigneur Jésus Christ,Kiahk,4,28,Préparation,0
428,28 Kiahk,Martyre de cent cinquante hommes et vingt quatre femmes à Antinoë,Kiahk,4,28,Martyre,1
429,29 Kiahk,Glorieuse Nativité de notre Seigneur Jésus Christ,Kiahk,4,29,Glorieuse,0
429,29 Kiahk,Martyre de l’enfant Zacharie et ses compagnons à Akhmîm,Kiahk,4,29,Martyre,1
429,29 Kiahk,Commémoration des martyrs d’Akhmîm,Kiahk,4,29,Commémoration,0
430,30 Kiahk,Adoration de notre Seigneur par les mages,Kiahk,4,30,Adoration,0
430,30 Kiahk,Martyre de saint Michel de Toukh,Kiahk,4,30,Martyre,1
430,30 Kiahk,"Décès de saint Jean, l’higoumène de Scété",Kiahk,4,30,Décès,0
51,1 Toubah,"Martyre de saint Etienne, l’archidiacre",Toubah,5,1,Martyre,1
51,1 Toubah,Martyre de saint Léonce,Toubah,5,1,Martyre,1
51,1 Toubah,Martyre de saint Dioscores et de son frère saint Séclapios,Toubah,5,1,Martyre,1
52,2 Toubah,"Martyre de saint Gallinicus, évêque d’Oussime",Toubah,5,2,Martyre,1
52,2 Toubah,"Décès de saint Théonas, le 16ème patriarche de la prédication de saint Marc",Toubah,5,2,Décès,0
52,2 Toubah,Décès de saint Youna,Toubah,5,2,Décès,0
53,3 Toubah,Commémoration de l’assassinat des enfants de Bethléem,Toubah,5,3,Commémoration,0
54,4 Toubah,Décès de saint Jean l’évangéliste,Toubah,5,4,Décès,0
55,5 Toubah,"Martyre de saint Eugénios, le soldat",Toubah,5,5,Martyre,1
55,5 Toubah,Martyre de saint Bâniqouros,Toubah,5,5,Martyre,1
55,5 Toubah,"Décès du pape Théodose II, le 79ème patriarche de la prédication de saint Marc",Toubah,5,5,Décès,0
55,5 Toubah,"Décès du pape Matthieu 1er, le 87ème patriarche de la prédication de saint Marc",Toubah,5,5,Décès,0
56,6 Toubah,Fête de la circoncision de Notre Seigneur Jésus Christ,Toubah,5,6,Fête,0
56,6 Toubah,Martyre des quatre notables d’Esna,Toubah,5,6,Martyre,1
56,6 Toubah,Commémoration de l’enlèvement du prophète Elie ,Toubah,5,6,Commémoration,0
56,6 Toubah,"Décès du pape Marcien, huitième patriarche de la prédication de saint Marc",Toubah,5,6,Décès,0
56,6 Toubah,"Décès du pape Marc III, 73ème patriarche de la prédication de saint Marc",Toubah,5,6,Décès,0
56,6 Toubah,"Décès du pape Gabriel III, 77ème patriarche de la prédication de saint Marc",Toubah,5,6,Décès,0
56,6 Toubah,"Décès de saint Basile le grand, archevêque de Césarée en Capadoce",Toubah,5,6,Décès,0
56,6 Toubah,Consécration de l’église du martyr Isaac al Dafrawi,Toubah,5,6,Consécration,0
57,7 Toubah,"Décès de saint Sylvestre, le pape de Rome",Toubah,5,7,Décès,0
58,8 Toubah,Restitution de la tête de l’apôtre saint Marc,Toubah,5,8,Restitution,0
58,8 Toubah,"Décès du pape Andronic, le trente septième patriarche de la prédication de saint Marc",Toubah,5,8,Décès,0
58,8 Toubah,"Décès du pape Benjamin 1er, le trente huitième patriarche de la prédication de saint Marc",Toubah,5,8,Décès,0
58,8 Toubah,"Décès du pape Gabriel V, le quatre vingt huitième patriarche de la prédication de saint Marc",Toubah,5,8,Décès,0
58,8 Toubah,Consécration de l’église de saint Macaire le grand,Toubah,5,8,Consécration,0
59,9 Toubah,"Décès de saint Abraham, le compagnon d’abba Gawarguy",Toubah,5,9,Décès,0
59,9 Toubah,Décès d’abba Phîs,Toubah,5,9,Décès,0
510,10 Toubah,Préparation (برمون) de la fête de l'Epiphanie,Toubah,5,10,Préparation,0
510,10 Toubah,"Décès de saint Juste, le disciple d’abba Samuel le confesseur",Toubah,5,10,Décès,0
511,11 Toubah,Fête de la Théophanie,Toubah,5,11,Fête,0
511,11 Toubah,"Décès du pape Jean VI, le 74ème patriarche de la prédication de saint Marc",Toubah,5,11,Décès,0
511,11 Toubah,"Décès du pape Benjamin II, le 82ème patriarche de la prédication de saint Marc",Toubah,5,11,Décès,0
512,12 Toubah,Martyre de saint Théodore l’oriental,Toubah,5,12,Martyre,1
512,12 Toubah,Martyre de saint Anatole,Toubah,5,12,Martyre,1
512,12 Toubah,Lendemain de la fête de la Théophanie,Toubah,5,12,Lendemain,0
512,12 Toubah,Commémoration de l’archange Michel,Toubah,5,12,Commémoration,0
513,13 Toubah,Commémoration de la noce de Cana en Galilée,Toubah,5,13,Commémoration,0
513,13 Toubah,Martyre de sainte Damiana,Toubah,5,13,Martyre,1
513,13 Toubah,Décès de saint Théophile le moine,Toubah,5,13,Décès,0
514,14 Toubah,Martyre de sainte Mohrati,Toubah,5,14,Martyre,1
514,14 Toubah,Décès de saint Archélides,Toubah,5,14,Décès,0
514,14 Toubah,Décès de saint Maxime frère de Dométien,Toubah,5,14,Décès,0
515,15 Toubah,Décès du saint prophète Abdias,Toubah,5,15,Décès,0
516,16 Toubah,Martyre de saint Philothée,Toubah,5,16,Martyre,1
516,16 Toubah,"Décès de saint Jean, le 48ème patriarche de la prédication de saint Marc",Toubah,5,16,Décès,0
517,17 Toubah,"Décès de saint Domitien (Domèce), le frère de saint Maxime",Toubah,5,17,Décès,0
517,17 Toubah,"Décès d'Abba Youssab al abah, évêque de Guérga",Toubah,5,17,Décès,0
518,18 Toubah,"Décès de saint Jacques, l’évêque de Nisibe",Toubah,5,18,Décès,0
518,18 Toubah,"Commémoration de Marie et Marthe, les deux sœurs de Lazare, le bien aimé",Toubah,5,18,Commémoration,0
